symbol,name,lastsale,netchange,pctchange,marketCap,country,ipoyear,volume,sector,industry,url
ANIK,Anika Therapeutics Inc. Common Stock,$26.08,0.49,1.915%,386726132.00,United States,,51892,Health Care,Medical/Dental Instruments,/market-activity/stocks/anik
ANIP,ANI Pharmaceuticals Inc.,$64.82,-1.21,-1.833%,1366339873.00,United States,,150915,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/anip
ANIX,Anixa Biosciences Inc. Common Stock,$2.93,-0.05,-1.678%,93466414.00,United States,,50683,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/anix
ANL,Adlai Nortye Ltd. American Depositary Shares,$13.92,0.92,7.077%,513651731.00,Cayman Islands,2023,6981,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/anl
ANNX,Annexon Inc. Common Stock,$4.50,-0.32,-6.639%,415857897.00,United States,2020,2954484,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/annx
ANRO,Alto Neuroscience Inc. Common Stock,$13.84,-0.32,-2.26%,372074394.00,,2024,121223,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/anro
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,$10.24,0.01,0.098%,0.00,United States,2024,51991,,,/market-activity/stocks/ansc
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,$10.32,0.00,0.00%,0.00,United States,2023,354,,,/market-activity/stocks/anscu
ANSCW,Agriculture & Natural Solutions Acquisition Corporation Warrant,$0.19,0.00,0.00%,0.00,United States,2024,600,,,/market-activity/stocks/anscw
ANSS,ANSYS Inc. Common Stock,$329.88,4.02,1.234%,28798517732.00,United States,1996,661782,,,/market-activity/stocks/anss
ANTE,AirNet Technology Inc. American Depositary Shares,$1.03,0.0301,3.01%,13501065.00,China,2007,5865,Consumer Discretionary,Advertising,/market-activity/stocks/ante
ANTX,AN2 Therapeutics Inc. Common Stock,$2.27,-0.04,-1.732%,67578751.00,United States,2022,241608,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/antx
ANVS,Annovis Bio Inc. Common Stock,$8.72,0.36,4.306%,97415306.00,United States,2020,1016366,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/anvs
ANY,Sphere 3D Corp. Common Shares,$1.04,0.108,11.588%,19037449.00,Canada,,394917,Finance,Finance: Consumer Services,/market-activity/stocks/any
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,$8.39,0.09,1.084%,0.00,United States,2007,208170,Finance,Investment Managers,/market-activity/stocks/aod
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,$10.96,0.00,0.00%,0.00,United States,2022,2,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/aogo
AOGOW,Arogo Capital Acquisition Corp. Warrant,$0.0308,-0.0042,-12.00%,0.00,United States,2022,6870,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/aogow
AOMR,Angel Oak Mortgage REIT Inc. Common Stock,$12.02,0.06,0.502%,300082593.00,United States,2021,62746,Finance,Real Estate,/market-activity/stocks/aomr
AON,Aon plc Class A Ordinary Shares (Ireland),$287.79,-0.13,-0.045%,62574398133.00,United States,,1259678,Finance,Specialty Insurers,/market-activity/stocks/aon
AONC,American Oncology Network Inc. Class A Common Stock,$3.50,0.03,0.865%,125007631.00,United States,2021,25675,Health Care,Medical/Nursing Services,/market-activity/stocks/aonc
AORT,Artivion Inc. Common Stock,$23.73,0.29,1.237%,990358309.00,United States,,119971,Health Care,Medical/Dental Instruments,/market-activity/stocks/aort
AOS,A.O. Smith Corporation Common Stock,$86.77,0.37,0.428%,12726566052.00,United States,,691284,Consumer Discretionary,Consumer Electronics/Appliances,/market-activity/stocks/aos
AOSL,Alpha and Omega Semiconductor Limited Common Shares,$27.79,0.17,0.615%,797621521.00,Bermuda,2010,182300,Technology,Semiconductors,/market-activity/stocks/aosl
AOUT,American Outdoor Brands Inc. Common Stock ,$8.15,0.03,0.369%,103972085.00,United States,,11688,Consumer Discretionary,Recreational Games/Products/Toys,/market-activity/stocks/aout
AP,Ampco-Pittsburgh Corporation Common Stock,$1.61,-0.10,-5.848%,31983856.00,United States,,97544,Industrials,Fluid Controls,/market-activity/stocks/ap
APA,APA Corporation Common Stock,$30.54,0.37,1.226%,11336214186.00,United States,,5163032,Energy,Oil & Gas Production,/market-activity/stocks/apa
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$46.42,0.67,1.464%,3730999794.00,United States,2013,378939,Finance,Investment Managers,/market-activity/stocks/apam
APCA,AP Acquisition Corp Class A Ordinary Shares,$11.40,0.01,0.088%,0.00,,2022,139239,Finance,Blank Checks,/market-activity/stocks/apca
APCX,AppTech Payments Corp. Common Stock,$0.9201,0.0059,0.645%,22712040.00,United States,,22763,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/apcx
APD,Air Products and Chemicals Inc. Common Stock,$251.60,3.04,1.223%,55932166201.00,United States,,1068144,Industrials,Major Chemicals,/market-activity/stocks/apd
APDN,Applied DNA Sciences Inc. Common Stock,$2.96,-0.26,-8.075%,2914795.00,United States,,62049,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,/market-activity/stocks/apdn
APEI,American Public Education Inc. Common Stock,$18.34,-0.10,-0.542%,322326692.00,United States,2007,110603,Real Estate,Other Consumer Services,/market-activity/stocks/apei
APG,APi Group Corporation Common Stock,$37.17,0.17,0.459%,10195247084.00,United States,2020,1971194,Consumer Discretionary,Engineering & Construction,/market-activity/stocks/apg
APGE,Apogee Therapeutics Inc. Common Stock,$53.30,-0.70,-1.296%,3115706239.00,United States,2023,656802,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/apge
APH,Amphenol Corporation Common Stock,$131.96,3.40,2.645%,79255696846.00,United States,,3632017,Technology,Electrical Products,/market-activity/stocks/aph
API,Agora Inc. American Depositary Shares,$2.72,-0.02,-0.73%,250789919.00,China,2020,68194,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/api
APLD,Applied Digital Corporation Common Stock,$3.80,0.22,6.145%,466410252.00,United States,2022,4909134,Finance,Finance: Consumer Services,/market-activity/stocks/apld
APLE,Apple Hospitality REIT Inc. Common Shares,$14.66,-0.13,-0.879%,3552795116.00,United States,2015,3207927,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/aple
APLM,Apollomics Inc. Class A Ordinary Shares,$0.3433,-0.0117,-3.296%,30723905.00,United States,,109780,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/aplm
APLS,Apellis Pharmaceuticals Inc. Common Stock,$41.92,0.72,1.748%,5087644066.00,United States,2017,1021024,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/apls
APLT,Applied Therapeutics Inc. Common Stock,$4.40,-0.24,-5.172%,502776481.00,United States,2019,986920,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/aplt
APM,Aptorum Group Limited Class A Ordinary Shares,$4.70,0.10,2.174%,24353976.00,Hong Kong,2018,9718,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/apm
APO,Apollo Global Management Inc. (New) Common Stock,$115.32,4.45,4.014%,65364431524.00,United States,,2333049,Finance,Investment Managers,/market-activity/stocks/apo
APO^A,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock,$64.50,1.92,3.068%,,United States,,255333,,,/market-activity/stocks/apo^a
APOG,Apogee Enterprises Inc. Common Stock,$67.06,0.58,0.872%,1483924334.00,United States,,126942,Consumer Discretionary,Auto Parts:O.E.M.,/market-activity/stocks/apog
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,$26.94,0.09,0.335%,15328965659.00,United States,1987,15317,Finance,Investment Managers,/market-activity/stocks/apos
APP,Applovin Corporation Class A Common Stock,$84.06,0.62,0.743%,27656888932.00,United States,2021,5307076,Technology,Computer Software: Programming Data Processing,/market-activity/stocks/app
APPF,AppFolio Inc. Class A Common Stock,$249.87,2.68,1.084%,9048616521.00,United States,2015,249233,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/appf
APPN,Appian Corporation Class A Common Stock,$33.44,-0.18,-0.535%,2415755760.00,United States,2017,406242,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/appn
APPS,Digital Turbine Inc. Common Stock,$2.56,0.20,8.475%,261174636.00,United States,,2672047,Miscellaneous,Multi-Sector Companies,/market-activity/stocks/apps
APRE,Aprea Therapeutics Inc. Common stock,$5.80,-0.09,-1.528%,31495247.00,United States,2019,11444,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/apre
APT,Alpha Pro Tech Ltd. Common Stock,$5.02,0.06,1.21%,58677274.00,Canada,2000,76764,,,/market-activity/stocks/apt
APTO,Aptose Biosciences Inc. Common Shares,$1.1801,-0.0499,-4.057%,8901211.00,Canada,,42831,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/apto
APTV,Aptiv PLC Ordinary Shares,$81.73,-1.11,-1.34%,22235658399.00,United Kingdom,2011,1893666,Consumer Discretionary,Auto Parts:O.E.M.,/market-activity/stocks/aptv
APVO,Aptevo Therapeutics Inc. Common Stock,$0.808,-0.02,-2.415%,3296777.00,United States,,130168,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/apvo
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),$1.515,-0.0115,-0.753%,31233584.00,Taiwan,,4000,Industrials,Telecommunications Equipment,/market-activity/stocks/apwc
APXI,APx Acquisition Corp. I Class A Ordinary Share,$11.49,0.00,0.00%,0.00,Mexico,2022,21,Finance,Blank Checks,/market-activity/stocks/apxi
APXIW,APx Acquisition Corp. I Warrant,$0.1651,0.00,0.00%,0.00,Mexico,2022,50000,Finance,Blank Checks,/market-activity/stocks/apxiw
APYX,Apyx Medical Corporation Common Stock,$1.41,0.00,0.00%,48847936.00,United States,,25977,Health Care,Medical/Dental Instruments,/market-activity/stocks/apyx
AQB,AquaBounty Technologies Inc. Common Stock,$1.9951,-0.0417,-2.047%,7695987.00,United States,,9055,Consumer Staples,Meat/Poultry/Fish,/market-activity/stocks/aqb
AQMS,Aqua Metals Inc. Common Stock,$0.4009,-0.0698,-14.829%,44882308.00,United States,2015,2918782,Industrials,Metal Fabrications,/market-activity/stocks/aqms
AQN,Algonquin Power & Utilities Corp. Common Shares,$6.67,0.18,2.773%,4597437830.00,United States,2016,5882576,Utilities,Electric Utilities: Central,/market-activity/stocks/aqn
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$25.10,0.04,0.16%,17300703079.00,United States,2019,13978,Utilities,Electric Utilities: Central,/market-activity/stocks/aqnb
AQNU,Algonquin Power & Utilities Corp. Corporate Units,$23.26,0.63,2.784%,16032444367.00,United States,2021,24597,Utilities,Electric Utilities: Central,/market-activity/stocks/aqnu
AQST,Aquestive Therapeutics Inc. Common Stock,$3.22,0.02,0.625%,293144073.00,United States,2018,941497,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/aqst
AQU,Aquaron Acquisition Corp. Common Stock,$10.95,0.0099,0.09%,0.00,United States,2022,598,Finance,Blank Checks,/market-activity/stocks/aqu
AR,Antero Resources Corporation Common Stock,$34.32,0.35,1.03%,10666896240.00,United States,2013,3097006,Energy,Oil & Gas Production,/market-activity/stocks/ar
ARAY,Accuray Incorporated Common Stock,$1.69,0.09,5.625%,167722652.00,United States,2007,759737,Health Care,Medical/Dental Instruments,/market-activity/stocks/aray
ARBB,ARB IOT Group Limited Ordinary Shares,$0.8894,-0.0206,-2.264%,23513513.00,Malaysia,2023,67380,Technology,EDP Services,/market-activity/stocks/arbb
ARBE,Arbe Robotics Ltd. Ordinary Shares,$1.64,-0.04,-2.381%,128283353.00,Israel,,58575,Technology,EDP Services,/market-activity/stocks/arbe
ARBEW,Arbe Robotics Ltd. Warrant,$0.19,0.0057,3.093%,14862096.00,Israel,,4992,Technology,EDP Services,/market-activity/stocks/arbew
ARBK,Argo Blockchain plc American Depositary Shares,$1.50,0.15,11.111%,802987749.00,United Kingdom,2021,317425,Finance,Finance: Consumer Services,/market-activity/stocks/arbk
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,$8.26,0.20,2.481%,4421785871.00,United Kingdom,,17535,Finance,Finance: Consumer Services,/market-activity/stocks/arbkl
ARC,ARC Document Solutions Inc. Common Stock,$2.77,-0.01,-0.36%,119606783.00,United States,2004,53911,Consumer Discretionary,Business Services,/market-activity/stocks/arc
ARCB,ArcBest Corporation Common Stock,$117.83,-1.92,-1.603%,2760950259.00,United States,,234426,Industrials,Trucking Freight/Courier Services,/market-activity/stocks/arcb
ARCC,Ares Capital Corporation Common Stock,$21.17,-0.08,-0.376%,12866354438.00,United States,2004,5163009,Finance,Finance/Investors Services,/market-activity/stocks/arcc
ARCH,Arch Resources Inc. Class A Common Stock,$158.32,2.17,1.39%,2868193831.00,United States,2016,299753,Energy,Coal Mining,/market-activity/stocks/arch
ARCO,Arcos Dorados Holdings Inc. Class A Shares,$10.57,-0.64,-5.709%,2226623022.00,Argentina,2011,3866509,Consumer Discretionary,Restaurants,/market-activity/stocks/arco
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,$29.015,-0.725,-2.438%,781426931.00,Israel,2013,293131,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/arct
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,$14.83,0.21,1.436%,339828545.00,United States,2012,180523,Finance,Investment Managers,/market-activity/stocks/ardc
ARDX,Ardelyx Inc. Common Stock,$7.85,0.06,0.77%,1836716090.00,United States,2014,2460770,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/ardx
ARE,Alexandria Real Estate Equities Inc. Common Stock,$125.17,1.15,0.927%,21890122383.00,United States,,745503,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/are
AREB,American Rebel Holdings Inc. Common Stock,$0.3562,-0.0113,-3.075%,2118550.00,United States,,110741,Industrials,Plastic Products,/market-activity/stocks/areb
AREBW,American Rebel Holdings Inc. Warrants,$0.0106,-0.0094,-47.00%,63045.00,United States,,72962,Industrials,Plastic Products,/market-activity/stocks/arebw
AREC,American Resources Corporation Class A Common Stock,$1.33,0.00,0.00%,105309344.00,United States,,160486,Energy,Coal Mining,/market-activity/stocks/arec
AREN,The Arena Group Holdings Inc. Common Stock,$0.8097,-0.0303,-3.607%,24105217.00,United States,2022,19189,Technology,EDP Services,/market-activity/stocks/aren
ARES,Ares Management Corporation Class A Common Stock,$149.82,4.89,3.374%,46416460078.00,United States,2014,2118015,Finance,Investment Managers,/market-activity/stocks/ares
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,$22.10,0.06,0.272%,25561715933.00,Bermuda,,15582,Finance,Specialty Insurers,/market-activity/stocks/argd
ARGO^A,Argo Group International Holdings Inc. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,$24.665,0.115,0.468%,,Bermuda,,4051,,,/market-activity/stocks/argo^a
ARGX,argenx SE American Depositary Shares,$376.96,20.95,5.885%,22313954196.00,Netherlands,2017,344655,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/argx
ARHS,Arhaus Inc. Class A Common Stock,$16.90,-0.06,-0.354%,2372031880.00,United States,2021,1269845,Consumer Discretionary,Other Specialty Stores,/market-activity/stocks/arhs
ARI,Apollo Commercial Real Estate Finance Inc,$10.23,-0.03,-0.292%,1454319357.00,United States,2009,1143390,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/ari
ARIS,Aris Water Solutions Inc. Class A Common Stock,$16.70,0.00,0.00%,970124727.00,United States,2021,540043,Energy,Oilfield Services/Equipment,/market-activity/stocks/aris
ARKO,ARKO Corp. Common Stock,$5.65,-0.025,-0.441%,653952250.00,United States,,439221,Consumer Staples,Food Chains,/market-activity/stocks/arko
ARKOW,ARKO Corp. Warrant,$0.32,-0.05,-13.514%,37038004.00,United States,,1056,Consumer Staples,Food Chains,/market-activity/stocks/arkow
ARKR,Ark Restaurants Corp. Common Stock,$15.85,1.1599,7.896%,57125888.00,United States,,10039,Consumer Discretionary,Restaurants,/market-activity/stocks/arkr
ARL,American Realty Investors Inc. Common Stock,$13.68,-0.08,-0.581%,220959948.00,United States,,6458,Real Estate,Other Consumer Services,/market-activity/stocks/arl
ARLO,Arlo Technologies Inc. Common Stock,$12.03,0.58,5.066%,1173879159.00,United States,2018,1605556,Consumer Staples,Consumer Electronics/Appliances,/market-activity/stocks/arlo
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$22.81,0.26,1.153%,2921093787.00,United States,1999,698754,Energy,Coal Mining,/market-activity/stocks/arlp
ARM,Arm Holdings plc American Depositary Shares,$113.67,-2.98,-2.555%,116861324693.00,United Kingdom,2023,9507997,Technology,Semiconductors,/market-activity/stocks/arm
ARMK,Aramark Common Stock,$33.63,-0.05,-0.148%,8844421364.00,United States,2013,3486473,Consumer Discretionary,Restaurants,/market-activity/stocks/armk
ARMN,Aris Mining Corporation Common Shares,$4.01,-0.46,-10.291%,566690140.00,,2023,1489568,,,/market-activity/stocks/armn
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.65,-0.27,-9.247%,95809735.00,United States,,25369,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/armp
AROC,Archrock Inc. Common Stock,$20.00,-0.03,-0.15%,3125729140.00,United States,,1692230,Energy,Oil & Gas Production,/market-activity/stocks/aroc
AROW,Arrow Financial Corporation Common Stock,$24.59,0.71,2.973%,410607287.00,United States,,72652,Finance,Major Banks,/market-activity/stocks/arow
ARQ,Arq Inc. Common Stock,$7.25,0.01,0.138%,245754729.00,United States,,170558,Industrials,Major Chemicals,/market-activity/stocks/arq
ARQQ,Arqit Quantum Inc. Ordinary Shares,$0.3964,-0.0136,-3.317%,65037889.00,United Kingdom,,1244982,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/arqq
ARQQW,Arqit Quantum Inc. Warrants,$0.1401,0.0001,0.071%,22986398.00,United Kingdom,,3737,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/arqqw
ARQT,Arcutis Biotherapeutics Inc. Common Stock,$9.24,1.11,13.653%,894555474.00,United States,2020,13890458,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/arqt
ARR,ARMOUR Residential REIT Inc.,$19.19,0.08,0.419%,935547157.00,United States,,1279109,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/arr
ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),$20.50,-0.10,-0.485%,,United States,,15821,,,/market-activity/stocks/arr^c
ARRY,Array Technologies Inc. Common Stock,$12.24,-0.38,-3.011%,1857654420.00,United States,2020,8040732,Consumer Discretionary,Miscellaneous manufacturing industries,/market-activity/stocks/arry
ARTL,Artelo Biosciences Inc. Common Stock,$1.3201,-0.0113,-0.849%,4260887.00,United States,,8134,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/artl
ARTLW,Artelo Biosciences Inc. Warrant,$0.0121,0.00,0.00%,39055.00,United States,,500,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/artlw
ARTNA,Artesian Resources Corporation Class A Common Stock,$40.57,-0.30,-0.734%,417293405.00,United States,,25767,Utilities,Water Supply,/market-activity/stocks/artna
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,$1.89,0.02,1.07%,9578913.00,United States,,1373,Industrials,Industrial Machinery/Components,/market-activity/stocks/artw
ARVN,Arvinas Inc. Common Stock,$32.33,0.97,3.093%,2212403036.00,United States,2018,697291,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/arvn
ARW,Arrow Electronics Inc. Common Stock,$129.98,0.97,0.752%,6918816683.00,United States,,339635,Technology,Electronic Components,/market-activity/stocks/arw
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,$25.04,2.13,9.297%,3109973759.00,United States,,1293865,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/arwr
ARYD,ARYA Sciences Acquisition Corp IV Class A Odinary Shares,$11.37,0.00,0.00%,90133753.00,United States,2021,38306,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/aryd
AS,Amer Sports Inc. Ordinary Shares,$15.98,0.90,5.968%,8073888720.00,,2024,2024901,Consumer Discretionary,Apparel,/market-activity/stocks/as
ASA,ASA  Gold and Precious Metals Limited,$18.58,0.27,1.475%,358406435.00,United States,,70903,Industrials,Precious Metals,/market-activity/stocks/asa
ASAI,Sendas Distribuidora S A ADS,$13.05,0.25,1.953%,3528284652.00,,2021,227262,Consumer Staples,Food Chains,/market-activity/stocks/asai
ASAN,Asana Inc. Class A Common Stock,$15.81,0.17,1.087%,3554207887.00,United States,2020,1325006,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/asan
ASB,Associated Banc-Corp Common Stock,$22.48,0.11,0.492%,3389235349.00,United States,,706648,Finance,Major Banks,/market-activity/stocks/asb
ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,$20.98,0.28,1.353%,,United States,,9351,,,/market-activity/stocks/asb^e
ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,$20.225,0.065,0.322%,,United States,,4303,,,/market-activity/stocks/asb^f
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,$22.31,0.19,0.859%,16890404647.00,United States,2023,126957,Finance,Major Banks,/market-activity/stocks/asba
ASC,Ardmore Shipping Corporation Common Stock,$22.29,0.36,1.642%,920680626.00,,2013,1064593,Consumer Discretionary,Marine Transportation,/market-activity/stocks/asc
ASCB,A SPAC II Acquisition Corp. Ordinary Shares,$11.12,0.00,0.00%,0.00,Singapore,2022,5599,Finance,Blank Checks,/market-activity/stocks/ascb
ASCBR,A SPAC II Acquisition Corp. Right,$0.0728,0.00,0.00%,0.00,Singapore,2022,83,Finance,Blank Checks,/market-activity/stocks/ascbr
ASCBW,A SPAC II Acquisition Corp. Warrant,$0.027,0.0008,3.053%,0.00,Singapore,2022,200,Finance,Blank Checks,/market-activity/stocks/ascbw
ASG,Liberty All-Star Growth Fund Inc.,$5.34,0.06,1.136%,0.00,United States,,259705,Finance,Investment Managers,/market-activity/stocks/asg
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,$18.79,-0.21,-1.105%,0.00,,2020,105295,Finance,Investment Managers,/market-activity/stocks/asgi
ASGN,ASGN Incorporated Common Stock,$102.54,2.37,2.366%,4706586000.00,United States,1992,215598,Technology,EDP Services,/market-activity/stocks/asgn
ASH,Ashland Inc. Common Stock,$98.52,0.47,0.479%,4938555783.00,United States,,262187,Consumer Discretionary,Specialty Chemicals,/market-activity/stocks/ash
ASIX,AdvanSix Inc. Common Stock ,$25.07,0.03,0.12%,672350926.00,United States,2016,72431,Industrials,Major Chemicals,/market-activity/stocks/asix
ASLE,AerSale Corporation Common Stock,$7.71,-0.26,-3.262%,408699590.00,United States,2019,295460,Consumer Discretionary,Industrial Specialties,/market-activity/stocks/asle
ASLN,ASLAN Pharmaceuticals Limited American Depositary Shares,$0.40,0.00,0.00%,9393195.00,Singapore,2018,134423,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/asln
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.90,0.028,3.211%,119761385.00,Canada,,1939598,Basic Materials,Metal Mining,/market-activity/stocks/asm
ASMB,Assembly Biosciences Inc. Common Stock,$14.61,0.71,5.108%,80549430.00,United States,2010,17805,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/asmb
ASML,ASML Holding N.V. New York Registry Shares,$937.42,22.39,2.447%,368801389700.00,Netherlands,1995,882425,Technology,Industrial Machinery/Components,/market-activity/stocks/asml
ASND,Ascendis Pharma A/S American Depositary Shares,$124.04,-0.78,-0.625%,7022448315.00,Denmark,2015,998212,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/asnd
ASNS,Actelis Networks Inc. Common Stock,$0.5462,-0.0048,-0.871%,1649670.00,United States,2022,63880,Telecommunications,Telecommunications Equipment,/market-activity/stocks/asns
ASO,Academy Sports and Outdoors Inc. Common Stock,$55.40,-1.06,-1.877%,4122056445.00,United States,2020,1452377,Consumer Discretionary,Other Specialty Stores,/market-activity/stocks/aso
ASPI,ASP Isotopes Inc. Common Stock,$4.31,0.45,11.658%,210859320.00,United States,2022,1277333,Industrials,Major Chemicals,/market-activity/stocks/aspi
ASPN,Aspen Aerogels Inc. Common Stock,$26.15,0.74,2.912%,1991615642.00,United States,2014,1437055,Consumer Discretionary,RETAIL: Building Materials,/market-activity/stocks/aspn
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$1.86,-0.04,-2.105%,50145016.00,Luxembourg,,101520,Consumer Discretionary,Other Consumer Services,/market-activity/stocks/asps
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,$347.59,-3.85,-1.095%,10427700000.00,Mexico,,29177,Consumer Discretionary,Aerospace,/market-activity/stocks/asr
ASRT,Assertio Holdings Inc. Common Stock,$1.01,0.00,0.00%,96075851.00,United States,,714628,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/asrt
ASRV,AmeriServ Financial Inc. Common Stock,$2.74,0.05,1.859%,46983520.00,United States,,10785,Finance,Major Banks,/market-activity/stocks/asrv
ASST,Asset Entities Inc. Class B Common Stock,$0.3799,0.0099,2.676%,5479833.00,United States,2023,32288,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/asst
ASTC,Astrotech Corporation (DE) Common Stock,$9.07,0.0288,0.319%,15434682.00,United States,,1890,Industrials,Aerospace,/market-activity/stocks/astc
ASTE,Astec Industries Inc. Common Stock,$35.20,0.19,0.543%,801339546.00,United States,1986,154042,Industrials,Construction/Ag Equipment/Trucks,/market-activity/stocks/aste
ASTH,Astrana Health Inc. Common Stock,$41.18,1.16,2.899%,2307131655.00,United States,,186698,Consumer Discretionary,Professional Services,/market-activity/stocks/asth
ASTI,Ascent Solar Technologies Inc. Common Stock,$0.11,-0.0028,-2.482%,3380905.00,United States,,3989314,Technology,Semiconductors,/market-activity/stocks/asti
ASTL,Algoma Steel Group Inc. Common Shares,$7.74,0.03,0.389%,805257951.00,Canada,,275123,Industrials,Steel/Iron Ore,/market-activity/stocks/astl
ASTLW,Algoma Steel Group Inc. Warrant,$1.14,0.03,2.703%,118603884.00,Canada,,27048,Industrials,Steel/Iron Ore,/market-activity/stocks/astlw
ASTR,Astra Space Inc. Class A Common Stock,$0.62,-0.004,-0.641%,14080841.00,United States,2020,197065,Consumer Discretionary,Transportation Services,/market-activity/stocks/astr
ASTS,AST SpaceMobile Inc. Class A Common Stock,$2.39,-0.12,-4.781%,611942378.00,United States,2019,9957703,Consumer Discretionary,Telecommunications Equipment,/market-activity/stocks/asts
ASTSW,AST SpaceMobile Inc. Warrant,$0.3624,-0.0201,-5.255%,92789924.00,United States,2019,20046,Consumer Discretionary,Telecommunications Equipment,/market-activity/stocks/astsw
ASUR,Asure Software Inc Common Stock,$7.60,0.19,2.564%,196179309.00,United States,,124579,Technology,EDP Services,/market-activity/stocks/asur
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$10.73,0.24,2.288%,23522449449.00,Taiwan,2018,4539977,Technology,Semiconductors,/market-activity/stocks/asx
