symbol,name,lastsale,netchange,pctchange,marketCap,country,ipoyear,volume,sector,industry,url
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$18.30,0.30,1.667%,,United States,,4257,,,/market-activity/stocks/abr^e
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$20.00,0.71,3.681%,,United States,,10403,,,/market-activity/stocks/abr^f
ABSI,Absci Corporation Common Stock,$4.825,-0.005,-0.104%,544185579.00,United States,2021,597357,Health Care,Biotechnology: Commercial Physical & Biological Resarch,/market-activity/stocks/absi
ABT,Abbott Laboratories Common Stock,$104.59,0.58,0.558%,181948294854.00,United States,,5437984,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abt
ABTS,Abits Group Inc Ordinary Shares,$0.6836,-0.0465,-6.369%,24305177.00,China,,45433,Technology,Computer Software: Programming Data Processing,/market-activity/stocks/abts
ABUS,Arbutus Biopharma Corporation Common Stock,$2.81,-0.05,-1.748%,530295919.00,Canada,,430695,Health Care,Pharmaceuticals and Biotechnology,/market-activity/stocks/abus
ABVC,ABVC BioPharma Inc. Common Stock,$1.08,0.00,0.00%,11405255.00,United States,,321716,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abvc
ABVX,Abivax SA American Depositary Shares,$13.95,0.10,0.722%,877698832.00,France,2023,171610,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/abvx
AC,Associated Capital Group Inc. Common Stock,$33.99,0.14,0.414%,730553052.00,United States,2015,8767,Finance,Investment Bankers/Brokers/Service,/market-activity/stocks/ac
ACA,Arcosa Inc. Common Stock ,$89.24,1.83,2.094%,4335506227.00,United States,2018,156630,Industrials,Metal Fabrications,/market-activity/stocks/aca
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.95,0.00,0.00%,0.00,United States,2022,233,Finance,Blank Checks,/market-activity/stocks/acab
ACABU,Atlantic Coastal Acquisition Corp. II Unit,$12.19,1.19,10.818%,0.00,United States,2022,2642,Finance,Blank Checks,/market-activity/stocks/acabu
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$11.29,0.00,0.00%,0.00,United States,2022,282,Finance,Blank Checks,/market-activity/stocks/acac
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$15.12,0.26,1.75%,2498139766.00,United States,1985,2331286,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/acad
ACB,Aurora Cannabis Inc. Common Shares,$7.12,0.12,1.714%,388320357.00,Canada,,2378510,Health Care, Medicinal Chemicals and Botanical Products ,/market-activity/stocks/acb
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$12.23,0.00,0.00%,46346160.00,Hong Kong,2021,1,Consumer Discretionary,Business Services,/market-activity/stocks/acba
ACBAW,Ace Global Business Acquisition Limited Warrant,$0.0306,0.0025,8.897%,0.00,Hong Kong,2021,7400,Consumer Discretionary,Business Services,/market-activity/stocks/acbaw
ACCD,Accolade Inc. Common Stock,$7.36,0.00,0.00%,576706843.00,United States,2020,418668,Consumer Discretionary,Business Services,/market-activity/stocks/accd
ACCO,Acco Brands Corporation Common Stock,$5.14,-0.03,-0.58%,491588212.00,United States,,352948,Consumer Discretionary,Publishing,/market-activity/stocks/acco
ACDC,ProFrac Holding Corp. Class A Common Stock,$8.95,0.24,2.755%,1431427639.00,United States,2022,1832909,Energy,Oilfield Services/Equipment,/market-activity/stocks/acdc
ACEL,Accel Entertainment Inc. ,$9.83,-0.01,-0.102%,823225067.00,United States,2017,597399,Consumer Discretionary,Services-Misc. Amusement & Recreation,/market-activity/stocks/acel
ACET,Adicet Bio Inc. Common Stock ,$1.40,0.07,5.263%,115015578.00,United States,2018,2664944,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/acet
ACGL,Arch Capital Group Ltd. Common Stock,$97.87,-0.03,-0.031%,36749620975.00,Bermuda,,1474081,Finance,Property-Casualty Insurers,/market-activity/stocks/acgl
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$19.58,0.21,1.084%,7352177160.00,Bermuda,,25366,Finance,Property-Casualty Insurers,/market-activity/stocks/acgln
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$22.87,0.27,1.195%,8587553200.00,Bermuda,,23261,Finance,Property-Casualty Insurers,/market-activity/stocks/acglo
ACHC,Acadia Healthcare Company Inc. Common Stock,$68.79,-2.53,-3.547%,6381965009.00,United States,,1131248,Health Care,Medical Specialities,/market-activity/stocks/achc
ACHL,Achilles Therapeutics plc American Depositary Shares,$0.92,0.00,0.00%,37796312.00,United Kingdom,2021,13152,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/achl
ACHR,Archer Aviation Inc. Class A Common Stock,$3.89,-0.11,-2.75%,1258640212.00,United States,2020,3558654,Industrials,Aerospace,/market-activity/stocks/achr
ACHV,Achieve Life Sciences Inc. Common Shares,$5.21,0.20,3.992%,178918189.00,United States,,233511,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,/market-activity/stocks/achv
ACI,Albertsons Companies Inc. Class A Common Stock,$20.81,0.01,0.048%,12015853467.00,United States,2020,912731,Consumer Staples,Food Chains,/market-activity/stocks/aci
ACIC,American Coastal Insurance Corporation Common Stock,$12.50,0.27,2.208%,597856138.00,United States,,364669,Finance,Property-Casualty Insurers,/market-activity/stocks/acic
ACIU,AC Immune SA Common Stock,$3.51,-0.07,-1.955%,348184380.00,Switzerland,2016,1009088,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/aciu
ACIW,ACI Worldwide Inc. Common Stock,$36.71,0.15,0.41%,3870694764.00,United States,,417781,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/aciw
ACLS,Axcelis Technologies Inc. Common Stock,$112.94,0.79,0.704%,3674220324.00,United States,2000,534148,Technology,Industrial Machinery/Components,/market-activity/stocks/acls
ACLX,Arcellx Inc. Common Stock,$51.72,1.10,2.173%,2767153024.00,United States,2022,642600,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/aclx
ACM,AECOM Common Stock,$91.09,-0.35,-0.383%,12399844866.00,United States,2007,641737,Consumer Discretionary,Military/Government/Technical,/market-activity/stocks/acm
ACMR,ACM Research Inc. Class A Common Stock,$23.87,0.71,3.066%,1480144996.00,United States,2017,1437620,Technology,Industrial Machinery/Components,/market-activity/stocks/acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),$308.52,1.57,0.511%,194072561707.00,Ireland,2001,4230786,Technology,EDP Services,/market-activity/stocks/acn
ACNB,ACNB Corporation Common Stock,$33.80,0.25,0.745%,288637635.00,United States,,8206,Finance,Major Banks,/market-activity/stocks/acnb
ACNT,Ascent Industries Co. Common Stock,$10.34,0.18,1.772%,104740922.00,United States,,3580,Industrials,Steel/Iron Ore,/market-activity/stocks/acnt
ACON,Aclarion Inc. Common Stock,$0.278,-0.009,-3.136%,152779.00,United States,2022,458902,Health Care,Medical Specialities,/market-activity/stocks/acon
ACONW,Aclarion Inc. Warrant,$0.0292,0.00,0.00%,16047.00,United States,2022,6597,Health Care,Medical Specialities,/market-activity/stocks/aconw
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.92,0.07,1.022%,0.00,United States,2011,356678,Finance,Investment Managers,/market-activity/stocks/acp
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$24.85,0.49,2.011%,,United States,,2845,,,/market-activity/stocks/acp^a
ACR,ACRES Commercial Realty Corp. Common Stock,$13.35,0.20,1.521%,106248832.00,United States,,10330,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/acr
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$24.60,0.11,0.449%,,United States,,14486,,,/market-activity/stocks/acr^c
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$20.87,-0.13,-0.619%,,United States,,9405,,,/market-activity/stocks/acr^d
ACRE,Ares Commercial Real Estate Corporation Common Stock,$6.78,-0.13,-1.881%,369556179.00,United States,2012,590095,Real Estate,Real Estate Investment Trusts,/market-activity/stocks/acre
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.18,0.00,0.00%,84092447.00,United States,2015,630232,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/acrs
ACRV,Acrivon Therapeutics Inc. Common Stock,$8.65,0.29,3.469%,267042376.00,United States,2022,38547,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/acrv
ACST,Acasti Pharma Inc. Class A Common Stock,$2.70,-0.09,-3.226%,25378391.00,Canada,,27961,Health Care,Pharmaceuticals and Biotechnology,/market-activity/stocks/acst
ACT,Enact Holdings Inc. Common Stock,$31.52,-0.02,-0.063%,4957854116.00,United States,2021,232294,Finance,Specialty Insurers,/market-activity/stocks/act
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$5.30,0.01,0.189%,530116340.00,United States,,442083,Miscellaneous,Multi-Sector Companies,/market-activity/stocks/actg
ACU,Acme United Corporation. Common Stock,$40.10,0.75,1.906%,146841388.00,United States,1988,23618,Consumer Discretionary,Industrial Machinery/Components,/market-activity/stocks/acu
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$22.70,0.24,1.069%,235239056.00,United States,2015,21433,Finance,Finance/Investors Services,/market-activity/stocks/acv
ACVA,ACV Auctions Inc. Class A Common Stock,$19.02,1.26,7.095%,3139981349.00,United States,2021,1586331,Consumer Discretionary,Business Services,/market-activity/stocks/acva
ACXP,Acurx Pharmaceuticals Inc. Common Stock,$2.25,0.16,7.656%,35453480.00,United States,2021,169688,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/acxp
ADAG,Adagene Inc. American Depositary Shares,$2.6596,0.0106,0.40%,146665873.00,China,2021,16940,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/adag
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$1.24,0.09,7.826%,306063094.00,United Kingdom,2015,1417611,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),/market-activity/stocks/adap
ADBE,Adobe Inc. Common Stock,$485.35,9.40,1.975%,217436800000.00,United States,1986,3490814,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/adbe
